,khipu_id,name,num_sum_clusters,num_sum_cords,num_left_sums,num_right_sums,max_indexed_cluster_cords,min_sum,max_sum,mean_sum,handedness
369,1000452,UR134,0,0,0,0,0,0,0,0,0.0
370,1000389,UR135,0,0,0,0,0,0,0,0,0.0
371,1000388,UR136,0,0,0,0,0,0,0,0,0.0
372,1000387,UR137,0,0,0,0,0,0,0,0,0.0
373,1000386,UR138,0,0,0,0,0,0,0,0,0.0
374,1000407,UR139,0,0,0,0,0,0,0,0,0.0
375,1000408,UR140,0,0,0,0,0,0,0,0,0.0
376,1000409,UR141,1,1,0,1,1,260,260,260,14.0
377,1000406,UR142,0,0,0,0,0,0,0,0,0.0
378,1000401,UR143,0,0,0,0,0,0,0,0,0.0
379,1000415,UR145,3,3,1,2,1,32,454,244.66666666666666,4.0
380,1000418,UR146,1,1,1,0,1,27,27,27,-17.0
381,1000400,UR147,0,0,0,0,0,0,0,0,0.0
382,1000414,UR148,0,0,0,0,0,0,0,0,0.0
383,1000413,UR149,5,14,1,13,6,6,222,52.714285714285715,29.357142857142858
384,1000405,UR150,0,0,0,0,0,0,0,0,0.0
385,1000404,UR151,0,0,0,0,0,0,0,0,0.0
386,1000402,UR152,0,0,0,0,0,0,0,0,0.0
387,1000403,UR153,0,0,0,0,0,0,0,0,0.0
388,1000399,UR154,0,0,0,0,0,0,0,0,0.0
389,1000410,UR156,0,0,0,0,0,0,0,0,0.0
390,1000416,UR157,0,0,0,0,0,0,0,0,0.0
391,1000417,UR158,0,0,0,0,0,0,0,0,0.0
392,1000411,UR159,0,0,0,0,0,0,0,0,0.0
393,1000397,UR160,0,0,0,0,0,0,0,0,0.0
394,1000395,UR161,0,0,0,0,0,0,0,0,0.0
395,1000393,UR162,0,0,0,0,0,0,0,0,0.0
396,1000412,UR164,0,0,0,0,0,0,0,0,0.0
397,1000496,UR166,0,0,0,0,0,0,0,0,0.0
398,1000475,UR168,0,0,0,0,0,0,0,0,0.0
399,1000477,UR169,2,2,0,2,1,6,8,7,10.0
400,1000492,UR170,0,0,0,0,0,0,0,0,0.0
401,1000478,UR171,1,1,1,0,1,11,11,11,-3.0
402,1000479,UR172,0,0,0,0,0,0,0,0,0.0
403,1000481,UR173,0,0,0,0,0,0,0,0,0.0
404,1000480,UR174,0,0,0,0,0,0,0,0,0.0
405,1000483,UR175,0,0,0,0,0,0,0,0,0.0
406,1000494,UR177,0,0,0,0,0,0,0,0,0.0
407,1000485,UR178,0,0,0,0,0,0,0,0,0.0
408,1000489,UR179,0,0,0,0,0,0,0,0,0.0
409,1000486,UR180,0,0,0,0,0,0,0,0,0.0
410,1000482,UR182,2,2,0,2,1,8,105,56.5,9.0
411,1000487,UR183,0,0,0,0,0,0,0,0,0.0
412,1000488,UR184,0,0,0,0,0,0,0,0,0.0
413,1000490,UR185,0,0,0,0,0,0,0,0,0.0
414,1000497,UR186,1,1,1,0,1,14,14,14,-46.0
415,1000495,UR187,0,0,0,0,0,0,0,0,0.0
416,1000499,UR188,1,1,0,1,1,105552,105552,105552,31.0
417,1000500,UR189,0,0,0,0,0,0,0,0,0.0
418,1000502,UR191,0,0,0,0,0,0,0,0,0.0
419,1000503,UR192,0,0,0,0,0,0,0,0,0.0
420,1000505,UR194,0,0,0,0,0,0,0,0,0.0
421,1000506,UR195,12,20,7,13,4,6,110,23.1,17.55
422,1000508,UR197,6,12,4,8,3,6,650,89.5,37.583333333333336
423,1000509,UR198,28,31,16,15,3,6,26,13.838709677419354,17.806451612903224
424,1000510,UR199,18,20,9,11,2,7,68,30,-14.0
425,1000511,UR200,0,0,0,0,0,0,0,0,0.0
426,1000512,UR201,0,0,0,0,0,0,0,0,0.0
427,1000513,UR202,1,1,0,1,1,130,130,130,19.0
428,1000514,UR203,4,6,2,4,2,16,28,21.333333333333332,15.333333333333334
429,1000515,UR204,1,2,0,2,2,18,48,33,10.0
430,1000516,UR205,1,1,1,0,1,13,13,13,-11.0
