,khipu_id,name,num_sum_cords,num_left_sums,num_right_sums,max_indexed_subsidiary_cords,min_sum,max_sum,mean_sum,handedness
331,1000039,UR1097,0,0,0,0,0,0,0,0
332,1000040,UR1098,0,0,0,0,0,0,0,0
333,1000041,UR1099,0,0,0,0,0,0,0,0
334,1000042,UR1100,3,0,3,49,54,365,160,18.333333333333332
335,1000046,UR1102,0,0,0,0,0,0,0,0
336,1000047,UR1103,1,0,1,5,205,205,205,21
337,1000048,UR1104,0,0,0,0,0,0,0,0
338,1000049,UR1105,0,0,0,0,0,0,0,0
339,1000050,UR1106,0,0,0,0,0,0,0,0
340,1000051,UR1107,0,0,0,0,0,0,0,0
341,1000052,UR1108,0,0,0,0,0,0,0,0
342,1000053,UR1109,0,0,0,0,0,0,0,0
343,1000359,UR111,0,0,0,0,0,0,0,0
344,1000057,UR1113,0,0,0,0,0,0,0,0
345,1000063,UR1114,11,6,5,5,12,37,19,-25.545454545454547
346,1000072,UR1116,0,0,0,0,0,0,0,0
347,1000073,UR1117,0,0,0,0,0,0,0,0
348,1000074,UR1118,0,0,0,0,0,0,0,0
349,1000075,UR1119,0,0,0,0,0,0,0,0
350,1000076,UR1120,0,0,0,0,0,0,0,0
351,1000077,UR1121,0,0,0,0,0,0,0,0
352,1000079,UR1123,0,0,0,0,0,0,0,0
353,1000080,UR1124,0,0,0,0,0,0,0,0
354,1000081,UR1124 Detail 1,0,0,0,0,0,0,0,0
355,1000083,UR1126,0,0,0,0,0,0,0,0
356,1000084,UR1127,0,0,0,0,0,0,0,0
357,1000292,UR113,63,31,32,8,11,160,31,-10.825396825396826
358,1000087,UR1130,1,0,1,8,26,26,26,12
359,1000089,UR1131,10,7,3,9,107,395,210,-0.6
360,1000093,UR1135,0,0,0,0,0,0,0,0
361,1000094,UR1136,1,1,0,3,64,64,64,-123
362,1000113,UR1138,0,0,0,0,0,0,0,0
363,1000287,UR114,3,1,2,7,18,24,22,34
364,1000115,UR1140,0,0,0,0,0,0,0,0
365,1000116,UR1141,0,0,0,0,0,0,0,0
366,1000118,UR1143,0,0,0,0,0,0,0,0
367,1000119,UR1144,0,0,0,0,0,0,0,0
368,1000120,UR1145,0,0,0,0,0,0,0,0
369,1000121,UR1146,1,0,1,3,11,11,11,64
370,1000122,UR1147,0,0,0,0,0,0,0,0
371,1000123,UR1148,0,0,0,0,0,0,0,0
372,1000124,UR1149,0,0,0,0,0,0,0,0
373,1000125,UR1150,1,1,0,3,32,32,32,-6
374,1000126,UR1151,0,0,0,0,0,0,0,0
375,1000127,UR1152,1,0,1,4,122,122,122,8
376,1000129,UR1154,0,0,0,0,0,0,0,0
377,1000134,UR1161,0,0,0,0,0,0,0,0
378,1000135,UR1162A,0,0,0,0,0,0,0,0
379,1000136,UR1162B,0,0,0,0,0,0,0,0
380,1000137,UR1163,0,0,0,0,0,0,0,0
381,1000139,UR1165,0,0,0,0,0,0,0,0
382,1000140,UR1166,44,18,26,5,12,53,23,17.636363636363637
383,1000141,UR1167,0,0,0,0,0,0,0,0
384,1000285,UR116A,1,0,1,4,12,12,12,63
385,1000283,UR116B,0,0,0,0,0,0,0,0
386,1000147,UR1175,34,8,26,8,14,160,44,52.294117647058826
387,1000148,UR1176,7,0,7,22,22,473,118,134.85714285714286
388,1000151,UR1179,0,0,0,0,0,0,0,0
389,1000288,UR117A,0,0,0,0,0,0,0,0
390,1000289,UR117B,0,0,0,0,0,0,0,0
391,1000290,UR117C,0,0,0,0,0,0,0,0
392,1000291,UR117D,0,0,0,0,0,0,0,0
393,1000293,UR118,4,3,1,4,28,112,85,-42.5
394,1000152,UR1180,0,0,0,0,0,0,0,0
395,1000329,UR119,0,0,0,0,0,0,0,0
396,1000320,UR120,3,1,2,10,53,77,69,-3.6666666666666665
397,1000322,UR121,0,0,0,0,0,0,0,0
398,1000323,UR122,0,0,0,0,0,0,0,0
399,1000324,UR123,0,0,0,0,0,0,0,0
400,1000325,UR124,0,0,0,0,0,0,0,0
401,1000326,UR125,0,0,0,0,0,0,0,0
402,1000328,UR127,0,0,0,0,0,0,0,0
403,1000377,UR128,0,0,0,0,0,0,0,0
404,1000378,UR129,0,0,0,0,0,0,0,0
405,1000316,UR130,0,0,0,0,0,0,0,0
406,1000300,UR131A,0,0,0,0,0,0,0,0
407,1000301,UR131B,5,1,4,6,15,113,37,24
408,1000302,UR131C,1,0,1,8,111,111,111,19
409,1000317,UR132,0,0,0,0,0,0,0,0
410,1000452,UR134,0,0,0,0,0,0,0,0
411,1000389,UR135,0,0,0,0,0,0,0,0
412,1000388,UR136,0,0,0,0,0,0,0,0
413,1000387,UR137,0,0,0,0,0,0,0,0
414,1000386,UR138,0,0,0,0,0,0,0,0
415,1000407,UR139,0,0,0,0,0,0,0,0
416,1000408,UR140,0,0,0,0,0,0,0,0
417,1000409,UR141,0,0,0,0,0,0,0,0
418,1000406,UR142,0,0,0,0,0,0,0,0
419,1000401,UR143,1,0,1,4,331,331,331,5
420,1000415,UR145,0,0,0,0,0,0,0,0
421,1000418,UR146,0,0,0,0,0,0,0,0
422,1000400,UR147,0,0,0,0,0,0,0,0
423,1000414,UR148,0,0,0,0,0,0,0,0
424,1000413,UR149,0,0,0,0,0,0,0,0
425,1000405,UR150,0,0,0,0,0,0,0,0
426,1000404,UR151,0,0,0,0,0,0,0,0
427,1000402,UR152,0,0,0,0,0,0,0,0
428,1000403,UR153,0,0,0,0,0,0,0,0
429,1000399,UR154,0,0,0,0,0,0,0,0
430,1000410,UR156,0,0,0,0,0,0,0,0
431,1000416,UR157,0,0,0,0,0,0,0,0
432,1000417,UR158,0,0,0,0,0,0,0,0
433,1000411,UR159,0,0,0,0,0,0,0,0
434,1000397,UR160,0,0,0,0,0,0,0,0
435,1000395,UR161,0,0,0,0,0,0,0,0
436,1000393,UR162,0,0,0,0,0,0,0,0
437,1000412,UR164,0,0,0,0,0,0,0,0
438,1000496,UR166,0,0,0,0,0,0,0,0
439,1000475,UR168,0,0,0,0,0,0,0,0
440,1000477,UR169,4,0,4,9,15,66,35,13.25
441,1000492,UR170,0,0,0,0,0,0,0,0
442,1000478,UR171,0,0,0,0,0,0,0,0
443,1000479,UR172,0,0,0,0,0,0,0,0
444,1000481,UR173,0,0,0,0,0,0,0,0
445,1000480,UR174,0,0,0,0,0,0,0,0
446,1000483,UR175,0,0,0,0,0,0,0,0
447,1000494,UR177,17,4,13,5,12,16,12,7.764705882352941
448,1000485,UR178,0,0,0,0,0,0,0,0
449,1000489,UR179,0,0,0,0,0,0,0,0
450,1000486,UR180,0,0,0,0,0,0,0,0
451,1000482,UR182,0,0,0,0,0,0,0,0
452,1000487,UR183,0,0,0,0,0,0,0,0
453,1000488,UR184,0,0,0,0,0,0,0,0
454,1000490,UR185,0,0,0,0,0,0,0,0
455,1000497,UR186,0,0,0,0,0,0,0,0
456,1000495,UR187,0,0,0,0,0,0,0,0
457,1000499,UR188,0,0,0,0,0,0,0,0
458,1000500,UR189,2,1,1,6,13,22,17,2
459,1000502,UR191,0,0,0,0,0,0,0,0
460,1000503,UR192,0,0,0,0,0,0,0,0
461,1000505,UR194,0,0,0,0,0,0,0,0
462,1000506,UR195,7,2,5,7,13,73,24,-3.4285714285714284
463,1000507,UR196,0,0,0,0,0,0,0,0
464,1000508,UR197,2,0,2,7,106,304,205,77
