,khipu_id,name,num_sum_clusters,min_sum,max_sum,mean_sum
476,1000520,UR209,0,0,0,0
477,1000521,UR210,1,317,317,317
478,1000522,UR211,1,160,160,160
479,1000523,UR212,1,270,270,270
480,1000524,UR213,0,0,0,0
481,1000525,UR214,0,0,0,0
482,1000526,UR215,0,0,0,0
483,1000527,UR216,0,0,0,0
484,1000528,UR217,0,0,0,0
485,1000529,UR218,0,0,0,0
486,1000530,UR219,0,0,0,0
487,1000531,UR220,0,0,0,0
488,1000533,UR222,0,0,0,0
489,1000534,UR223,1,200,200,200
490,1000535,UR225,0,0,0,0
491,1000536,UR226,0,0,0,0
492,1000537,UR227,0,0,0,0
493,1000538,UR228,1,100,100,100
494,1000539,UR229,0,0,0,0
495,1000540,UR230,0,0,0,0
496,1000541,UR231,1,34,34,34
497,1000542,UR232,1,149,149,149
498,1000543,UR233,0,0,0,0
499,1000544,UR234,0,0,0,0
500,1000545,UR235,0,0,0,0
501,1000551,UR237,0,0,0,0
502,1000552,UR238,0,0,0,0
503,1000553,UR239,0,0,0,0
504,1000554,UR240,0,0,0,0
505,1000549,UR241,0,0,0,0
506,1000547,UR242,2,26,33,29
507,1000548,UR243,0,0,0,0
508,1000555,UR244,1,27,27,27
509,1000550,UR245,0,0,0,0
510,1000556,UR246,1,288,288,288
511,1000558,UR247,0,0,0,0
512,1000559,UR248,0,0,0,0
513,1000560,UR249,0,0,0,0
514,1000561,UR250,0,0,0,0
515,1000589,UR251,0,0,0,0
516,1000590,UR252,0,0,0,0
517,1000592,UR254,0,0,0,0
518,1000597,UR255,1,100,100,100
519,1000598,UR256,0,0,0,0
520,1000595,UR257,0,0,0,0
521,1000599,UR258,0,0,0,0
522,1000600,UR259,0,0,0,0
523,1000601,UR260,0,0,0,0
524,1000602,UR261,0,0,0,0
525,1000603,UR262,0,0,0,0
526,1000604,UR263,1,22,22,22
527,1000605,UR264,3,51,185,136
528,1000606,UR265,0,0,0,0
529,1000607,UR266,0,0,0,0
530,1000608,UR267A,2,127,282,204
531,1000609,UR267B,0,0,0,0
532,1000610,UR268,0,0,0,0
533,1000611,UR269,3,46,3000,1348
534,1000612,UR270,0,0,0,0
535,1000613,UR271,0,0,0,0
536,1000614,UR272,0,0,0,0
537,1000615,UR273A,1,448,448,448
538,1000616,UR273B,1,1370,1370,1370
539,1000617,UR274A,0,0,0,0
540,1000618,UR274B,0,0,0,0
541,1000619,UR275,0,0,0,0
542,1000620,UR276,0,0,0,0
543,1000622,UR277,1,199,199,199
544,1000623,UR278,0,0,0,0
545,1000621,UR279,0,0,0,0
546,1000649,UR282,0,0,0,0
547,1000650,UR283,2,65,128,96
548,1000651,UR284,0,0,0,0
549,1000652,UR285,0,0,0,0
550,1000653,UR286,0,0,0,0
551,1000654,UR287,0,0,0,0
552,1000655,UR288,0,0,0,0
553,1000656,UR289,0,0,0,0
554,1000657,UR290,0,0,0,0
555,1000658,UR291A,2,43,48,45
556,1000660,UR293,0,0,0,0
557,1000661,UR294,0,0,0,0
558,6000000,AS001,0,0,0,0
559,6000001,AS002,0,0,0,0
560,6000002,AS003,1,82,82,82
561,6000003,AS004,0,0,0,0
562,6000004,AS005,0,0,0,0
563,6000005,AS006,3,105,158,136
564,6000006,AS007,3,124,170,142
565,6000007,AS008,1,331,331,331
566,6000008,AS009,0,0,0,0
567,6000009,AS072,0,0,0,0
568,6000010,HP045,0,0,0,0
569,6000011,HP047,0,0,0,0
570,6000012,HP048,0,0,0,0
571,6000013,HP055,5,42,1656,365
572,6000014,KH0001,0,0,0,0
573,6000015,KH0032,0,0,0,0
574,6000016,KH0033,0,0,0,0
575,6000017,KH0049,0,0,0,0
576,6000018,KH0057,1,43,43,43
577,6000019,KH0058,0,0,0,0
578,6000020,KH0067,0,0,0,0
579,6000021,KH0080,0,0,0,0
580,6000022,KH0081,0,0,0,0
581,6000023,KH0083,3,46,140,78
582,6000024,KH0197,0,0,0,0
583,6000025,KH0227,0,0,0,0
584,6000026,KH0267,0,0,0,0
585,6000027,KH0350,0,0,0,0
586,6000028,MM001,1,100,100,100
587,6000029,MM002,0,0,0,0
588,6000030,MM003,0,0,0,0
589,6000031,MM004,0,0,0,0
590,6000032,MM005,0,0,0,0
591,6000033,MM006/AN001,0,0,0,0
592,6000034,MM007/AN002,0,0,0,0
593,6000035,MM008,0,0,0,0
594,6000036,MM009,1,39,39,39
595,6000037,MM010,0,0,0,0
596,6000038,MM011,0,0,0,0
597,6000039,MM012,0,0,0,0
598,6000040,MM013,0,0,0,0
599,6000041,MM014,1,55,55,55
600,6000042,MM015,0,0,0,0
601,6000043,MM016,1,21,21,21
602,6000044,MM017,0,0,0,0
603,6000045,MM018,0,0,0,0
604,6000046,MM019,1,26,26,26
605,6000047,MM020,0,0,0,0
606,6000048,MM021,0,0,0,0
607,6000049,MM1086,3,22,340,204
608,6000050,QU001,0,0,0,0
609,6000051,QU002,1,38,38,38
610,6000052,QU003,0,0,0,0
611,6000053,QU004,0,0,0,0
612,6000054,QU005,0,0,0,0
613,6000055,QU006,0,0,0,0
614,6000056,QU007,0,0,0,0
615,6000057,QU008,0,0,0,0
616,6000058,QU009,2,83,93,88
617,6000059,QU010,0,0,0,0
618,6000060,QU011,0,0,0,0
619,6000061,QU012,0,0,0,0
620,6000062,QU013,3,21,24,22
621,6000063,QU014,1,119,119,119
622,6000064,QU015,2,46,512,279
623,6000065,QU016,0,0,0,0
624,6000066,QU017,0,0,0,0
625,6000067,QU018,0,0,0,0
626,6000068,QU019,1,173,173,173
627,6000069,QU020,0,0,0,0
628,6000070,QU021,2,38,68,53
629,6000071,QU022,2,102,111,106
630,6000072,UR001,1,400,400,400
631,6000073,UR004,1,24,24,24
632,6000074,UR017,0,0,0,0
633,6000075,UR039,8,24,41,31
634,6000077,UR050,4,21,22,21
635,6000078,UR052,19,21,29,23
636,6000079,UR054,2,21,24,22
637,6000080,UR055,66,21,45,29
638,6000081,UR110,0,0,0,0
639,6000082,UR112,0,0,0,0
640,6000083,UR144,0,0,0,0
641,6000084,UR155,0,0,0,0
642,6000085,UR165,0,0,0,0
643,6000086,UR167,0,0,0,0
644,6000087,UR190,0,0,0,0
645,6000088,UR193,0,0,0,0
646,6000089,UR221,0,0,0,0
647,6000090,UR253,0,0,0,0
648,6000091,UR280,0,0,0,0
649,6000092,UR292A,0,0,0,0
