,khipu_id,name,cord_id,cord_name,cord_position,cord_position_index,parent_cord_position,cord_value,cord_color,num_summands,sum_string,handedness
233,1000333,UR1034,3029544,p38s2,"@[7, 3, 1]:12","(3, 1)","YB@[7, 3]:27",12,,3,"YB@[2, 0]:4 + YB@[2, 1]:4 + YB@[2, 2]:4",-26
234,1000333,UR1034,3029547,p39s3,"@[7, 4, 2]:12","(4, 2)","YB@[7, 4]:30",12,,3,"YB@[2, 0]:4 + YB@[2, 1]:4 + YB@[2, 2]:4",-27
235,1000333,UR1034,3029560,p62s1,"YB@[11, 2, 0]:11","(2, 0)","YB@[11, 2]:6",11,YB,3,"YB@[0, 2]:7 + YB@[0, 3]:3 + YB@[0, 4]:1",-58
236,1000333,UR1034,3029562,p65s1,"YB@[11, 5, 0]:11","(5, 0)","YB@[11, 5]:18",11,YB,3,"YB@[0, 2]:7 + YB@[0, 3]:3 + YB@[0, 4]:1",-61
237,1000333,UR1034,3029564,p68s1,"YB@[11, 8, 0]:11","(8, 0)","YB@[11, 8]:30",11,YB,3,"YB@[0, 2]:7 + YB@[0, 3]:3 + YB@[0, 4]:1",-64
238,1000333,UR1034,3029568,p73s1,"YB@[11, 13, 0]:11","(13, 0)","YB@[11, 13]:4",11,YB,3,"YB@[0, 2]:7 + YB@[0, 3]:3 + YB@[0, 4]:1",-69
239,1000333,UR1034,3029540,p36s2,"YB@[7, 1, 1]:18","(1, 1)","YB@[7, 1]:30",18,YB,4,"W@[10, 6]:1 + YB@[10, 7]:8 + W@[10, 8]:1 + YB@[10, 9]:8",21
240,1000333,UR1034,3029542,p37s2,"YB@[7, 2, 1]:22","(2, 1)","YB@[7, 2]:30",22,YB,4,"W@[12, 4]:6 + YB@[12, 5]:6 + W@[12, 6]:1 + YB@[12, 7]:9",42
241,1000333,UR1034,3029544,p38s2,"@[7, 3, 1]:12","(3, 1)","YB@[7, 3]:27",12,,3,"YB:LB@[9, 4]:2 + W@[10, 0]:1 + YB@[10, 1]:9",12
242,1000333,UR1034,3029547,p39s3,"@[7, 4, 2]:12","(4, 2)","YB@[7, 4]:30",12,,3,"YB:LB@[9, 4]:2 + W@[10, 0]:1 + YB@[10, 1]:9",11
243,1000333,UR1034,3029560,p62s1,"YB@[11, 2, 0]:11","(2, 0)","YB@[11, 2]:6",11,YB,4,"YB@[11, 11]:3 + W@[11, 12]:1 + YB@[11, 13]:4 + W@[12, 0]:3",11
244,1000333,UR1034,3029562,p65s1,"YB@[11, 5, 0]:11","(5, 0)","YB@[11, 5]:18",11,YB,4,"YB@[11, 11]:3 + W@[11, 12]:1 + YB@[11, 13]:4 + W@[12, 0]:3",8
245,1000333,UR1034,3029564,p68s1,"YB@[11, 8, 0]:11","(8, 0)","YB@[11, 8]:30",11,YB,4,"YB@[11, 11]:3 + W@[11, 12]:1 + YB@[11, 13]:4 + W@[12, 0]:3",5
246,1000333,UR1034,3029568,p73s1,"YB@[11, 13, 0]:11","(13, 0)","YB@[11, 13]:4",11,YB,4,"YB@[12, 1]:1 + W@[12, 2]:3 + YB@[12, 3]:1 + W@[12, 4]:6",4
247,1000183,UR1057,3038895,p385s1,"YB@[58, 5, 0]:145","(5, 0)","YB@[58, 5]:1",145,YB,5,"YB@[22, 5]:104 + 0G@[22, 6]:38 + YB@[26, 0]:1 + W@[26, 1]:1 + YB@[26, 2]:1",-219
248,1000314,UR1095,3026763,p43s2,"B@[2, 40, 1]:21","(40, 1)","B@[2, 40]:7",21,B,3,"B@[2, 38]:12 + B@[2, 39]:2 + B@[2, 40]:7",-1
249,1000314,UR1095,3026766,p43s5,"B@[2, 40, 4]:17","(40, 4)","B@[2, 40]:7",17,B,3,"B:VB@[2, 31]:7 + B@[2, 32]:2 + B@[2, 33]:8",-8
250,1000314,UR1095,3026770,p43s9,"B@[2, 40, 8]:16","(40, 8)","B@[2, 40]:7",16,B,3,"B@[2, 18]:2 + B:YG@[2, 19]:3 + B@[2, 20]:11",-21
251,1000314,UR1095,3026776,p68s1,"B@[4, 4, 0]:14","(4, 0)","B@[4, 4]:10",14,B,3,"B:YG@[2, 17]:9 + B@[2, 18]:2 + B:YG@[2, 19]:3",-47
252,1000314,UR1095,3026780,p95s2,"B@[4, 31, 1]:110","(31, 1)","B@[4, 31]:15",110,B,7,"B@[2, 21]:10 + B@[2, 22]:19 + B@[2, 23]:5 + B@[2, 24]:40 + B@[2, 25]:26 + B@[2, 26]:6 + B@[2, 27]:4",-68
253,1000314,UR1095,3026782,p97s1,"B@[5, 0, 0]:110","(0, 0)","B@[5, 0]:2113",110,B,7,"B@[2, 21]:10 + B@[2, 22]:19 + B@[2, 23]:5 + B@[2, 24]:40 + B@[2, 25]:26 + B@[2, 26]:6 + B@[2, 27]:4",-70
254,1000314,UR1095,3026786,p104s3,"B@[6, 0, 2]:111","(0, 2)","B@[6, 0]:11",111,B,6,"B@[2, 20]:11 + B@[2, 21]:10 + B@[2, 22]:19 + B@[2, 23]:5 + B@[2, 24]:40 + B@[2, 25]:26",-79
255,1000314,UR1095,3026787,p104s4,"B@[6, 0, 3]:19","(0, 3)","B@[6, 0]:11",19,B,3,"B@[2, 33]:8 + B@[2, 34]:6 + B@[2, 35]:5",-67
256,1000314,UR1095,3026789,p105s1,"B@[6, 1, 0]:14","(1, 0)","B@[6, 1]:11",14,B,3,"B:YG@[2, 17]:9 + B@[2, 18]:2 + B:YG@[2, 19]:3",-84
257,1000314,UR1095,3026792,p129s1,"B@[6, 25, 0]:29","(25, 0)","B:YG@[6, 25]:16",29,B,3,"B@[3, 6]:7 + B@[3, 7]:19 + B@[3, 8]:3",-78
258,1000314,UR1095,3026798,p137s1,"B@[7, 7, 0]:13","(7, 0)","B@[7, 7]:21",13,B,3,"B@[3, 10]:10 + B@[3, 11]:1 + B@[3, 12]:2",-82
259,1000314,UR1095,3026802,p141s3,"B@[8, 0, 2]:17","(0, 2)","B@[8, 0]:6",17,B,3,"B:VB@[2, 31]:7 + B@[2, 32]:2 + B@[2, 33]:8",-106
260,1000314,UR1095,3026803,p141s4,"B@[8, 0, 3]:130","(0, 3)","B@[8, 0]:6",130,B,3,"B@[3, 13]:110 + B@[3, 14]:10 + B@[3, 15]:10",-83
261,1000314,UR1095,3026804,p141s5,"B@[8, 0, 4]:129","(0, 4)","B@[8, 0]:6",129,B,4,"B@[2, 39]:2 + B@[2, 40]:7 + B@[3, 0]:110 + B@[3, 1]:10",-98
262,1000314,UR1095,3026805,p141s6,"B@[8, 0, 5]:16","(0, 5)","B@[8, 0]:6",16,B,3,"B@[2, 18]:2 + B:YG@[2, 19]:3 + B@[2, 20]:11",-119
263,1000314,UR1095,3026807,p141s8,"B@[8, 0, 7]:31","(0, 7)","B@[8, 0]:6",31,B,3,"B@[3, 3]:13 + B@[3, 4]:2 + B:YG@[3, 5]:16",-93
264,1000314,UR1095,3026808,p141s9,"B@[8, 0, 8]:115","(0, 8)","B@[8, 0]:6",115,B,8,"B@[2, 21]:10 + B@[2, 22]:19 + B@[2, 23]:5 + B@[2, 24]:40 + B@[2, 25]:26 + B@[2, 26]:6 + B@[2, 27]:4 + B@[2, 28]:5",-114
265,1000314,UR1095,3026809,p141s10,"B@[8, 0, 9]:1230","(0, 9)","B@[8, 0]:6",1230,B,7,"B@[4, 16]:20 + @[4, 17]:1112 + B@[4, 18]:12 + B@[4, 19]:20 + B@[4, 20]:9 + B@[4, 21]:18 + B@[4, 22]:39",-58
266,1000314,UR1095,3026810,p141s11,"B@[8, 0, 10]:44","(0, 10)","B@[8, 0]:6",44,B,3,"B:YG@[2, 5]:6 + B:YG@[2, 6]:8 + B:YG@[2, 7]:30",-132
267,1000314,UR1095,3026755,p2s1,"B:YG@[1, 0, 0]:17","(0, 0)","B@[1, 0]:17",17,B:YG,3,"B:VB@[2, 31]:7 + B@[2, 32]:2 + B@[2, 33]:8",33
268,1000314,UR1095,3026763,p43s2,"B@[2, 40, 1]:21","(40, 1)","B@[2, 40]:7",21,B,3,"B@[3, 14]:10 + B@[3, 15]:10 + B@[3, 16]:1",16
